Value,Before,Aug ‘19,Sep ‘19,Oct ‘19,Nov ‘19,Dec ‘19,Jan ‘20,Feb ‘20,Mar ‘20,Apr ‘20,May ‘20,Jun ‘20,Jul ‘20,Aug ‘20,Sep ‘20,Oct ‘20
Cash balance,"$	41,262.65","$	27,208.64","$	27,527.06","$	4,170.10","$	35,722.59","$	44,384.40","$	48,082.04","$	12,803.12","$	15,572.67","$	25,664.99","$	16,840.28","$	22,444.28","$	34,284.25","$	39,399.65","$	45,551.00","$	57,729.53"
Stock balance,,"$	12,929.61","$	13,250.97","$	12,051.64","$	10,953.70","$	7,142.81","$	5,114.08","$	12,304.05","$	11,082.09","$	12,265.67","$	12,599.83","$	12,921.43","$	14,043.76","$	14,269.81","$	14,475.26","$	13,960.51"
Option balance,,$	0.00,$	(349.56),$	(96.10),"$	(1,715.26)","$	(1,731.57)","$	(6,061.40)","$	(8,526.94)","$	(11,214.26)","$	(11,260.40)","$	(7,876.44)","$	(7,637.58)","$	20,330.90","$	(8,487.72)","$	(11,216.28)","$	(17,707.60)"
ETF balance,,"$	1,124.40","$	1,101.45","$	25,806.59",$	0.00,"$	(5,667.54)",$	0.00,"$	21,423.16","$	15,392.89","$	10,676.05","$	19,259.41","$	18,901.85","$	(9,372.25)","$	18,829.57","$	18,057.95","$	9,874.34"
Total balance,"$	41,262.65","$	41,262.65","$	41,529.92","$	41,932.23","$	44,961.03","$	44,128.10","$	47,134.72","$	38,003.39","$	30,833.39","$	37,346.31","$	40,823.08","$	46,629.98","$	59,286.66","$	64,011.31","$	66,867.93","$	63,856.78"
Opening balance,$	0.00,"$	41,060.17","$	41,262.66","$	41,529.92","$	41,932.21","$	44,961.03","$	44,128.11","$	47,134.72","$	38,003.40","$	30,833.40","$	37,346.30","$	40,823.08","$	46,629.98","$	59,286.65","$	64,011.31","$	66,867.93"
Deposits,"$	41,060.17",$	0.00,$	0.00,$	0.00,"$	14,276.00",$	0.00,"$	5,200.00",$	0.00,$	0.00,$	0.00,$	0.00,"$	5,500.00","$	10,298.33",$	0.00,$	0.00,$	0.00
Withdrawals,,$	0.00,$	0.00,$	0.00,"$	(13,276.00)",$	0.00,$	0.00,$	0.00,$	0.00,$	0.00,$	0.00,$	0.00,$	0.00,$	0.00,$	0.00,$	0.00
Change in balance,,$	202.49,$	267.27,$	402.29,"$	2,028.82",$	(832.92),"$	(2,193.39)","$	(9,131.32)","$	(7,170.00)","$	6,512.90","$	3,476.78",$	306.90,"$	2,358.34","$	4,724.65","$	2,856.62","$	(3,011.15)"
Closing balance,"$	41,060.17","$	41,262.66","$	41,529.93","$	41,932.21","$	44,961.03","$	44,128.11","$	47,134.72","$	38,003.40","$	30,833.40","$	37,346.30","$	40,823.08","$	46,629.98","$	59,286.65","$	64,011.30","$	66,867.93","$	63,856.78"
Portfolio return,N/A,0.50%,0.60%,0.90%,4.80%,-1.90%,-4.50%,-19.20%,-19.10%,21.00%,9.20%,0.90%,3.60%,8.60%,4.60%,-5.00%
SPY return,1.31%,-1.81%,1.72%,2.04%,3.40%,2.86%,-0.16%,-8.41%,-12.51%,12.68%,4.50%,1.84%,5.51%,7.01%,-3.92%,-2.66%
